Date,Open,High,Low,Close,Adj Close,Volume
09/12/19,2127.949951,2127.949951,2053.5,2060.449951,1900.487427,2244747
10/12/19,2060,2060.850098,2003.25,2012.849976,1856.582886,4520045
11/12/19,2025.400024,2048,2006.75,2041.900024,1883.377686,4943024
12/12/19,2051.100098,2083.649902,1984,2020.900024,1864.007935,7137306
13/12/19,2023,2077.399902,2007,2071.25,1910.448853,5711133
16/12/19,2096,2136,2080.300049,2126.75,1961.640259,5574177
17/12/19,2126.5,2169,2119,2164.949951,1996.874634,6059673
18/12/19,2174,2203.449951,2153,2167.75,1999.457153,8251081
19/12/19,2179.800049,2236.5,2167.550049,2229.050049,2055.998291,6251505
20/12/19,2220,2246.699951,2208.25,2222.899902,2050.325684,5548338
23/12/19,2210,2241.949951,2210,2231.699951,2058.441895,2247329
24/12/19,2239,2243.550049,2211.149902,2215.600098,2043.592285,1805896
26/12/19,2216.399902,2229,2195.199951,2201.949951,2031.001831,1880367
27/12/19,2208,2226.399902,2176,2198.5,2027.81958,2720261
30/12/19,2207,2225,2177.100098,2183.199951,2013.707642,2288830
31/12/19,2189,2197,2157.449951,2161.699951,1993.876709,1909289
01/01/20,2168,2183.899902,2154,2167.600098,1999.318359,1354908
02/01/20,2179.949951,2179.949951,2149.199951,2157.649902,1990.141113,2380752
03/01/20,2164,2223,2164,2200.649902,2029.802612,4655761
06/01/20,2205,2225.949951,2187.899902,2200.449951,2029.618408,3023209
07/01/20,2200.5,2214.649902,2183.800049,2205.850098,2034.599121,2429317
08/01/20,2205,2260,2202.050049,2255.25,2080.163574,5197454
09/01/20,2248.75,2251.949951,2210,2214.350098,2042.439331,3734173
10/01/20,2228,2234,2208,2213.550049,2041.701782,1915807
13/01/20,2217.850098,2218.949951,2184.699951,2190.350098,2020.30249,2843893
14/01/20,2195,2229.800049,2195,2206.899902,2035.567627,2948452
15/01/20,2213,2231,2194.199951,2226.899902,2054.014893,2620681
16/01/20,2226.949951,2249,2215,2238.800049,2064.991211,3117214
17/01/20,2240.75,2253.550049,2213,2219.100098,2046.820557,3281059
20/01/20,2194.899902,2242.199951,2156.199951,2170.350098,2001.855347,5817599
21/01/20,2169.949951,2186.550049,2158.050049,2171.050049,2002.501221,1902980
22/01/20,2181,2210,2173.699951,2206.899902,2035.567627,1773686
